

gen best mean std
0 28.255148 -3.918821 7.017901
1 42.191945 0.251511 12.662134
2 55.871007 6.51098 15.176797
3 49.375559 8.336242 14.980357
4 70.955333 8.836037 16.411986
5 70.613877 12.700278 17.261969
6 70.945216 12.098353 19.038306
7 70.976683 11.384 19.635526
8 56.349075 11.339096 18.772044
9 70.679826 9.218088 18.593737
10 63.925206 7.27834 18.051253
11 47.699197 7.664679 16.344081
12 63.376848 13.230249 19.703448
13 70.945783 10.176116 19.834447
14 56.530998 11.22672 17.878356
15 49.330746 11.4721 17.690716
16 56.745302 12.952636 19.170795
17 56.440425 14.8349 18.570434
18 63.940074 10.45477 17.91805
19 56.491785 7.515499 16.642769
20 42.475116 10.372551 17.77423
21 56.842127 9.852992 17.60938
22 78.194733 13.95466 19.122588
23 56.672082 14.463217 19.153202
24 63.76869 9.462207 17.251242
25 56.273907 10.719106 16.38527
26 49.45864 13.670253 17.03396
27 56.734349 12.040782 17.784971
28 56.700359 10.493506 17.445932
29 56.781353 10.709497 18.199766
30 71.006886 9.466909 18.336479
31 70.492179 10.46774 18.258747
32 54.144488 13.284745 16.924862
33 49.442363 8.782728 16.859509
34 70.552417 12.741376 17.70607
35 49.573378 11.829466 16.194405
36 56.62497 13.955387 18.416148
37 56.302739 9.754181 18.295267
38 56.324186 7.350381 17.260256
39 56.402032 8.837522 16.71082
40 50.788409 8.891032 16.142133
41 63.932204 12.089679 16.620475
42 42.353136 10.457304 16.706152
43 56.551664 14.119448 17.693817
44 70.583824 7.725169 18.88987
45 55.941629 9.029073 17.387626
46 56.385307 6.898744 17.078572
47 70.823672 11.626838 17.896653
48 63.637358 9.433407 18.708972
49 49.065892 10.271973 16.381633
