

gen best mean std
0 91.779644 11.548879 32.390675

gen best mean std
0 91.772379 9.313249 29.822508
1 92.73194 41.721416 36.701543
2 92.73194 65.272876 29.179878
3 93.527 71.11217 26.086511
4 93.527 76.673606 22.534744
5 93.527 78.944761 20.98134
6 93.527 79.393301 20.210089
7 93.527 83.929751 13.916722
8 93.527 85.939901 12.877569
9 93.527 84.02063 14.836948
10 93.527 84.365935 14.311625
11 93.527 83.882939 15.965561
12 93.527 84.529749 14.71316
13 93.527 83.32837 18.529071
14 93.527 84.677485 15.502935
15 93.527 87.991123 9.102178
